date,sales,revenue,quantity,profit,customer_count,region
2024-01-01,1200,12000,45,3600,25,North
2024-01-02,1350,13500,50,4050,28,North
2024-01-03,1180,11800,42,3540,23,South
2024-01-04,1420,14200,55,4260,32,East
2024-01-05,890,8900,35,2670,18,West
2024-01-06,1580,15800,60,4740,35,North
2024-01-07,1650,16500,62,4950,38,East
2024-01-08,1520,15200,58,4560,33,South
2024-01-09,1380,13800,52,4140,29,West
2024-01-10,1450,14500,54,4350,31,North
2024-01-11,1320,13200,48,3960,27,South
2024-01-12,1680,16800,65,5040,40,East
2024-01-13,1750,17500,68,5250,42,North
2024-01-14,1290,12900,46,3870,26,West
2024-01-15,1560,15600,59,4680,34,South
2024-01-16,1480,14800,56,4440,32,East
2024-01-17,1620,16200,61,4860,37,North
2024-01-18,1390,13900,53,4170,30,West
2024-01-19,1720,17200,66,5160,41,South
2024-01-20,1580,15800,60,4740,35,East
2024-01-21,1650,16500,62,4950,38,North
2024-01-22,1420,14200,55,4260,32,West
2024-01-23,1780,17800,70,5340,43,South
2024-01-24,1690,16900,64,5070,39,East
2024-01-25,1530,15300,57,4590,33,North
2024-01-26,1460,14600,55,4380,31,West
2024-01-27,1820,18200,72,5460,45,South
2024-01-28,1750,17500,68,5250,42,East
2024-01-29,1680,16800,65,5040,40,North
2024-01-30,1590,15900,60,4770,36,West
2024-01-31,1870,18700,75,5610,47,South
2024-02-01,1920,19200,78,5760,48,East
2024-02-02,1680,16800,65,5040,40,North
2024-02-03,1750,17500,68,5250,42,West
2024-02-04,1820,18200,72,5460,45,South
2024-02-05,1590,15900,60,4770,36,East
2024-02-06,1980,19800,82,5940,50,North
2024-02-07,1850,18500,74,5550,46,West
2024-02-08,1720,17200,66,5160,41,South
2024-02-09,1680,16800,65,5040,40,East
2024-02-10,1950,19500,80,5850,49,North
2024-02-11,1780,17800,70,5340,43,West
2024-02-12,2100,21000,88,6300,55,South
2024-02-13,1920,19200,78,5760,48,East
2024-02-14,1850,18500,74,5550,46,North
2024-02-15,1680,16800,65,5040,40,West
2024-02-16,2050,20500,85,6150,52,South
2024-02-17,1980,19800,82,5940,50,East
2024-02-18,1820,18200,72,5460,45,North
2024-02-19,1750,17500,68,5250,42,West
2024-02-20,2150,21500,90,6450,58,South
2024-02-21,2080,20800,86,6240,53,East
2024-02-22,1920,19200,78,5760,48,North
2024-02-23,1850,18500,74,5550,46,West
2024-02-24,2200,22000,92,6600,60,South
2024-02-25,2120,21200,88,6360,56,East
2024-02-26,1980,19800,82,5940,50,North
2024-02-27,1890,18900,76,5670,47,West
2024-02-28,2250,22500,95,6750,62,South
2024-02-29,2180,21800,90,6540,57,East
2024-03-01,2050,20500,85,6150,52,North
2024-03-02,1920,19200,78,5760,48,West
2024-03-03,2300,23000,98,6900,65,South
2024-03-04,2220,22200,92,6660,58,East
2024-03-05,2080,20800,86,6240,53,North
2024-03-06,1950,19500,80,5850,49,West
2024-03-07,2350,23500,100,7050,68,South
2024-03-08,2280,22800,95,6840,60,East
2024-03-09,2150,21500,90,6450,58,North
2024-03-10,2020,20200,83,6060,51,West
